Enabling ACLiC compilation with OpenMP for Linux
Info in <TUnixSystem::ACLiC>: creating shared library /w/halld-scshelf2101/bgrube/pippimetapr/Moments/././wignerD_C.so
Running code in '/w/halld-scshelf2101/bgrube/pippimetapr/Moments', git version '4b1463e'
Re[H^true_0(L = 5, M = 2)] = 0.0 +- 0.0
Im[H^true_0(L = 5, M = 2)] = 0.0 +- 0.0
Re[H^true_0(L = 5, M = 3)] = 0.0 +- 0.0
Im[H^true_0(L = 5, M = 3)] = 0.0 +- 0.0
Re[H^true_0(L = 5, M = 4)] = 0.0 +- 0.0
Im[H^true_0(L = 5, M = 4)] = 0.0 +- 0.0
Re[H^true_0(L = 5, M = 5)] = 0.0 +- 0.0
Im[H^true_0(L = 5, M = 5)] = 0.0 +- 0.0
Re[H^true_1(L = 0, M = 0)] = 0.0016583747927031846 +- 0.0
Im[H^true_1(L = 0, M = 0)] = 0.0 +- 0.0
Re[H^true_1(L = 1, M = 0)] = -0.22351797725435102 +- 0.0
Im[H^true_1(L = 1, M = 0)] = 0.0 +- 0.0
Re[H^true_1(L = 1, M = 1)] = 0.09344585975762353 +- 0.0
Im[H^true_1(L = 1, M = 1)] = 0.0 +- 0.0
Re[H^true_1(L = 2, M = 0)] = 0.01665834045368186 +- 0.0
Im[H^true_1(L = 2, M = 0)] = 0.0 +- 0.0
Re[H^true_1(L = 2, M = 1)] = 0.040466401270887145 +- 0.0
Im[H^true_1(L = 2, M = 1)] = 0.0 +- 0.0
Re[H^true_1(L = 2, M = 2)] = -0.016042049647788218 +- 0.0
Im[H^true_1(L = 2, M = 2)] = 0.0 +- 0.0
Re[H^true_1(L = 3, M = 0)] = 0.010819096756042553 +- 0.0
Im[H^true_1(L = 3, M = 0)] = 0.0 +- 0.0
Re[H^true_1(L = 3, M = 1)] = -0.03374003772496036 +- 0.0
Im[H^true_1(L = 3, M = 1)] = 0.0 +- 0.0
Re[H^true_1(L = 3, M = 2)] = 0.048236157684942924 +- 0.0
Im[H^true_1(L = 3, M = 2)] = 0.0 +- 0.0
Re[H^true_1(L = 3, M = 3)] = -0.05330490405117272 +- 0.0
Im[H^true_1(L = 3, M = 3)] = 0.0 +- 0.0
Re[H^true_1(L = 4, M = 0)] = -0.010897891494906418 +- 0.0
Im[H^true_1(L = 4, M = 0)] = 0.0 +- 0.0
Re[H^true_1(L = 4, M = 1)] = -0.011166609439413335 +- 0.0
Im[H^true_1(L = 4, M = 1)] = 0.0 +- 0.0
Re[H^true_1(L = 4, M = 2)] = 0.0007744047932178298 +- 0.0
Im[H^true_1(L = 4, M = 2)] = 0.0 +- 0.0
Re[H^true_1(L = 4, M = 3)] = -0.003737553365300241 +- 0.0
Im[H^true_1(L = 4, M = 3)] = 0.0 +- 0.0
Re[H^true_1(L = 4, M = 4)] = -0.004955342493094501 +- 0.0
Im[H^true_1(L = 4, M = 4)] = 0.0 +- 0.0
Re[H^true_1(L = 5, M = 0)] = 0.0 +- 0.0
Im[H^true_1(L = 5, M = 0)] = 0.0 +- 0.0
Re[H^true_1(L = 5, M = 1)] = 0.0 +- 0.0
Im[H^true_1(L = 5, M = 1)] = 0.0 +- 0.0
Re[H^true_1(L = 5, M = 2)] = 0.0 +- 0.0
Im[H^true_1(L = 5, M = 2)] = 0.0 +- 0.0
Re[H^true_1(L = 5, M = 3)] = 0.0 +- 0.0
Im[H^true_1(L = 5, M = 3)] = 0.0 +- 0.0
Re[H^true_1(L = 5, M = 4)] = 0.0 +- 0.0
Im[H^true_1(L = 5, M = 4)] = 0.0 +- 0.0
Re[H^true_1(L = 5, M = 5)] = 0.0 +- 0.0
Im[H^true_1(L = 5, M = 5)] = 0.0 +- 0.0
Re[H^true_2(L = 1, M = 1)] = 0.0 +- 0.0
Im[H^true_2(L = 1, M = 1)] = -0.09775186089152954 +- 0.0
Re[H^true_2(L = 2, M = 1)] = 0.0 +- 0.0
Im[H^true_2(L = 2, M = 1)] = 0.03382456541401076 +- 0.0
Re[H^true_2(L = 2, M = 2)] = 0.0 +- 0.0
Im[H^true_2(L = 2, M = 2)] = 0.02070249382559847 +- 0.0
Re[H^true_2(L = 3, M = 1)] = 0.0 +- 0.0
Im[H^true_2(L = 3, M = 1)] = 0.016755474004658627 +- 0.0
Re[H^true_2(L = 3, M = 2)] = 0.0 +- 0.0
Im[H^true_2(L = 3, M = 2)] = -0.05657378458967682 +- 0.0
Re[H^true_2(L = 3, M = 3)] = 0.0 +- 0.0
Im[H^true_2(L = 3, M = 3)] = 0.02914001421464109 +- 0.0
Re[H^true_2(L = 4, M = 1)] = 0.0 +- 0.0
Im[H^true_2(L = 4, M = 1)] = -0.004599170977293224 +- 0.0
Re[H^true_2(L = 4, M = 2)] = 0.0 +- 0.0
Im[H^true_2(L = 4, M = 2)] = -0.013047535328816976 +- 0.0
Re[H^true_2(L = 4, M = 3)] = 0.0 +- 0.0
Im[H^true_2(L = 4, M = 3)] = -1.1507286739481307e-18 +- 0.0
Re[H^true_2(L = 4, M = 4)] = 0.0 +- 0.0
Im[H^true_2(L = 4, M = 4)] = -0.0029732054958567012 +- 0.0
Re[H^true_2(L = 5, M = 1)] = 0.0 +- 0.0
Im[H^true_2(L = 5, M = 1)] = 0.0 +- 0.0
Re[H^true_2(L = 5, M = 2)] = 0.0 +- 0.0
Im[H^true_2(L = 5, M = 2)] = 0.0 +- 0.0
Re[H^true_2(L = 5, M = 3)] = 0.0 +- 0.0
Im[H^true_2(L = 5, M = 3)] = 0.0 +- 0.0
Re[H^true_2(L = 5, M = 4)] = 0.0 +- 0.0
Im[H^true_2(L = 5, M = 4)] = 0.0 +- 0.0
Re[H^true_2(L = 5, M = 5)] = 0.0 +- 0.0
Im[H^true_2(L = 5, M = 5)] = 0.0 +- 0.0
Generating 1000 events distributed according to PWA model AmplitudeSet(_amps=({(0, 0): (0.5+0j), (1, -1): (0.5-0.1j), (1, 0): (-0.8-0.3j), (1, 1): (0.6+0.3j), (2, -2): (0.2+0.1j), (2, -1): (0.2-0.3j), (2, 0): (0.1-0.2j), (2, 1): (0.2+0.5j), (2, 2): (-0.3-0.1j)}, {(0, 0): (1+0j), (1, -1): (-0.4+0.1j), (1, 0): (0.3-0.8j), (1, 1): (-0.8+0.7j), (2, -2): (0.1-0.4j), (2, -1): (0.5+0.2j), (2, 0): (-0.1-0.2j), (2, 1): (0.2-0.1j), (2, 2): (-0.2+0.3j)})) with photon-beam polarization 1.0 weighted by efficiency (1.5 - x * x) * (1.5 - y * y / (180 * 180)) * (1.5 - z * z / (180 * 180)) / 1.5**3
Drawing histogram 'efficiencyGenSig' for function 'efficiencyGenSig': minimum value = 0.057333845645189285, maximum value = 1.0
Info in <TCanvas::Print>: pdf file ./plots/efficiencyGenSig.pdf has been created
